10k,name,division,25k,gender,age,official,bib,genderdiv,ctz,35k,overall,pace,state,30k,5k,half,20k,country,city,40k
43.85,"Mazurkiewicz, Stephen M.",2738,110.07,M,39,195.47,5821,4759,,157.40,5381,7.47,WA,133.07,21.88,92.73,87.83,USA,Richland,183.60
47.55,"Weiss, Brian",3888,122.63,M,38,232.05,5822,10201,,179.50,15844,8.87,PA,149.48,23.68,102.35,96.92,USA,Easton,215.05
49.10,"Hayden, Patrick L",4615,141.22,M,37,268.33,5823,13440,,215.63,23194,10.25,MO,176.98,25.83,112.23,106.45,USA,Ballwin,253.38
47.32,"Van Zalen, Sebastiaan",3811,124.57,M,36,228.45,5824,9792,,185.12,14880,8.72,PA,153.62,23.12,102.90,97.22,USA,Philadelphia,215.50
43.55,"Harsha-Strong, Alex",3162,110.90,M,28,205.12,5825,6388,,163.57,7831,7.83,IL,135.65,21.72,92.87,88.02,USA,Naperville,192.43
41.20,"Turnley, Christopher",802,107.25,M,43,192.50,5826,4221,,155.50,4681,7.35,TX,130.55,20.40,89.45,84.65,USA,Austin,181.52
40.98,"Roddis, Brett",2024,102.78,M,36,184.87,5827,2985,,148.17,3194,7.07,CA,124.70,20.52,86.45,81.98,USA,San Francisco,173.13
42.03,"Stone, David W.",1909,105.67,M,32,183.63,5828,2780,,150.70,2963,7.02,CA,127.45,21.03,89.27,84.73,USA,Beverly Hills,173.40
41.83,"Braun, Kendra",219,106.00,F,39,186.83,5829,260,,152.60,3519,7.13,BC,128.67,21.03,88.98,84.23,CAN,Langley,176.27
42.08,"Jackson, Veronica M.",201,105.98,F,27,185.75,5830,237,,150.25,3342,7.10,NY,127.73,20.93,89.35,84.72,USA,New York,174.28
43.00,"Abouzahr, Fadi",477,107.62,M,47,191.80,5831,4078,,154.13,4508,7.32,TX,130.43,21.55,90.45,85.78,USA,San Antonio,180.17
41.77,"Sanchez-Ruano, Miguel A. Sr.",1592,114.75,M,46,219.12,5832,8604,,172.02,12146,8.37,VA,143.07,21.10,91.90,87.13,USA,Woodbridge,204.45
41.07,"Stapels, Christopher J.",2645,105.70,M,37,194.02,5833,4511,,154.98,5047,7.40,MA,129.60,20.82,88.00,83.20,USA,Millis,182.68
42.73,"Bond, James L Sr.",2376,106.63,M,36,190.03,5834,3792,,151.83,4149,7.25,CA,128.42,21.15,90.00,85.37,USA,Merced,178.65
44.10,"Zeberkiewicz, John Mark",2543,110.17,M,37,192.45,5835,4209,,156.88,4666,7.35,PA,133.12,21.98,92.90,88.08,USA,Kennett Square,181.63
43.28,"Orders, Nathaniel",2573,110.67,M,36,192.83,5836,4287,,158.18,4764,7.37,WV,134.12,21.17,93.05,88.22,USA,Charleston,182.08
41.08,"Craddick, Karen",230,105.32,F,29,187.50,5837,273,,152.40,3648,7.17,WA,128.38,20.43,88.05,83.30,USA,Seattle,176.92
44.67,"Macrae, Tom",657,112.33,M,48,196.15,5838,4855,,161.08,5513,7.48,CA,135.93,22.17,94.67,89.75,USA,Monterey,184.50
42.02,"Munoz Blanco, Angel",242,106.73,M,52,190.55,5839,3883,,154.63,4260,7.28,DC,130.17,21.05,89.42,84.73,USA,Washington,178.87
44.33,"Schmidt, John",3323,112.47,M,39,209.48,5841,7142,,165.68,9164,8.00,MN,138.30,21.83,94.55,89.75,USA,Rogers,198.33
42.13,"Desbiens, Mathieu",1362,104.48,M,35,178.05,5842,1844,,147.32,1950,6.80,QC,125.70,21.18,88.25,83.60,CAN,L'Anse-Saint-Jean,168.82
42.78,"Ryan, Michael J.",2485,108.63,M,21,191.68,5843,4057,,155.97,4482,7.32,MD,131.63,21.42,90.97,86.17,USA,Annapolis,180.58
42.93,"Fitzpatrick, Diana",6,109.07,F,56,197.40,5845,733,,158.70,5782,7.53,CA,132.92,21.62,91.70,86.93,USA,Larkspur,185.13
47.77,"Howard, Phil M.",968,123.03,M,52,213.90,5846,7828,GBR,175.63,10499,8.17,CA,148.88,23.88,103.17,97.65,USA,Valencia,202.30
45.58,"Johnson, Stuart R. Jr.",950,113.53,M,47,202.30,5848,5892,,162.55,7024,7.72,WA,137.48,22.98,95.72,90.83,USA,Bainbridge Island,189.65
42.55,"Bertot, Jeffrey",822,106.57,M,41,192.90,5849,4299,,152.90,4779,7.37,UT,128.82,21.35,89.83,85.22,USA,Salt Lake City,180.05
43.57,"Sydor, Eric W",3005,112.72,M,35,201.33,5850,5732,,163.90,6780,7.68,CT,137.93,21.73,94.08,88.95,USA,Westport,189.63
44.83,"Gamboa, Stephen",2983,114.08,M,36,200.73,5851,5637,,163.17,6633,7.67,CA,138.13,21.75,96.17,91.28,USA,Santa Rosa,188.70
55.15,"Dunham, Tj",3992,137.60,M,36,236.58,5852,10757,,195.53,17177,9.03,TN,166.55,27.60,115.83,109.92,USA,Franklin,224.12
53.35,"Wilkins, Andrew D.",4012,143.70,M,38,237.40,5853,10862,,198.77,17392,9.07,MA,171.73,27.28,114.28,106.13,USA,Canton,225.12
44.93,"Kasteler, Tiffany",197,117.88,F,40,206.42,5854,1598,,169.48,8191,7.88,UT,143.58,22.15,98.12,92.82,USA,Salt Lake City,195.20
41.97,"Patrick, Matthew R.",910,106.58,M,42,194.72,5855,4639,,154.63,5212,7.43,NY,129.53,20.98,89.20,84.48,USA,Larchmont,182.32
42.95,"Moore, Barrett G",2332,108.57,M,39,189.32,5856,3664,,155.23,3994,7.23,NC,131.57,21.42,91.32,86.60,USA,Charlotte,178.88
44.97,"Collins, Jesse A.",3474,115.03,M,35,213.72,5857,7797,,170.88,10440,8.17,MI,142.03,22.53,95.83,90.78,USA,Waterford,200.58
48.27,"Lung, Jeffery M",3597,123.50,M,35,218.00,5858,8451,,178.47,11788,8.32,IL,150.42,23.93,103.72,98.28,USA,Chicago,206.05
44.43,"Kalina, Jim",1286,111.80,M,40,207.05,5859,6697,,161.45,8387,7.90,MN,135.47,22.27,94.15,89.23,USA,Mankato,195.10
41.60,"Stewart, Brian C.",2214,103.90,M,28,187.50,5860,3378,,149.58,3651,7.17,NY,125.80,20.90,87.57,82.98,USA,Buffalo,175.82
41.60,"Malmsheimer, Karl A",604,107.43,M,50,204.53,5861,6289,,161.53,7658,7.82,CA,133.08,20.57,89.42,84.62,USA,Los Gatos,192.28
47.48,"Dorrough, Mark K.",1197,119.38,M,45,207.55,5862,6784,,170.20,8532,7.92,OR,144.47,24.07,100.55,95.10,USA,Troutdale,196.13
42.88,"Mason, Matthew J.",2628,108.10,M,37,193.72,5863,4455,,157.03,4974,7.40,CO,131.55,21.55,90.85,86.17,USA,Englewood,182.17
42.58,"Ganger, Chad M",2644,107.23,M,38,194.02,5864,4509,,155.38,5044,7.40,IN,130.37,21.35,90.10,85.37,USA,Mishawaka,181.70
44.18,"Vaughn, Ellen M",111,112.72,F,43,200.15,5865,950,,162.72,6508,7.65,OH,137.03,21.95,94.60,89.62,USA,Dayton,188.52
45.40,"Hoffman, Mel",888,122.20,M,50,211.08,5866,7403,,173.73,9656,8.07,MT,147.27,22.73,103.20,97.72,USA,Sidney,199.78
42.62,"Van Ryzin, Henrik W",612,106.98,M,41,188.25,5867,3495,,153.52,3788,7.18,HI,129.50,21.45,90.07,85.30,USA,Kailua,177.43
43.18,"Hage, Matt",625,107.67,M,43,188.60,5868,3550,,154.32,3860,7.20,AZ,130.45,21.80,90.90,86.12,USA,Gilbert,177.95
43.05,"Tam, Edmond",2530,109.62,M,37,192.28,5870,4167,,157.48,4615,7.35,NY,133.22,21.55,92.08,87.23,USA,New York,181.40
42.62,"Northan, Brian M",2327,108.27,M,39,189.23,5871,3653,CAN,154.72,3983,7.23,NY,130.87,21.27,91.17,86.35,USA,Guilderland,178.48
46.58,"Moran, Carlos",1359,119.92,M,44,209.32,5872,7113,,173.27,9106,7.98,CA,146.93,23.20,100.50,95.27,USA,Chino Hills,198.53
41.50,"Bub, Gary R.",322,105.78,M,48,186.88,5873,3265,,152.02,3525,7.13,CA,128.70,20.87,88.58,83.92,USA,Pacific Palisades,176.00
44.82,"Weaver, David E.",1527,114.37,M,49,216.90,5874,8279,,169.17,11427,8.28,PA,139.52,22.32,95.87,90.87,USA,Perkasie,205.17
42.10,"Ditty, Richard P.",101,103.98,M,46,176.17,5875,1561,,145.92,1653,6.73,ON,124.48,21.18,88.15,83.70,CAN,Woodslee,166.90
45.78,"Romero Rubio, Roberto",1061,115.17,M,44,199.00,5876,5347,,163.92,6199,7.60,,139.13,23.05,96.93,91.63,ESP,Valdealvillo - Soria,188.42
42.80,"Kuhl, Thomas",2651,106.28,M,38,194.10,5877,4523,,156.50,5059,7.42,CO,130.62,21.95,89.62,85.02,USA,Denver,183.17
42.32,"Nichols, Katherine R.",9,106.38,F,47,184.98,5878,213,,152.03,3216,7.07,MA,128.67,21.28,89.35,84.78,USA,Boston,175.03
44.33,"Rhodes, Rodney",986,116.08,M,51,214.38,5879,7897,,170.62,10643,8.18,IL,142.13,21.78,96.58,91.40,USA,Palatine,201.08
44.47,"Gudmundson, Stefan P",491,109.75,M,43,185.13,5880,3025,,153.95,3241,7.07,ON,132.13,22.40,92.60,87.75,CAN,Guelph,175.62
44.33,"Shiver, Seth D",2159,109.55,M,38,186.75,5881,3251,,154.68,3508,7.13,TX,131.90,21.93,92.57,87.80,USA,Mansfield,176.92
43.17,"Marrichi, Paul",2216,108.33,M,35,187.52,5882,3381,,153.18,3654,7.17,MD,130.45,21.48,91.32,86.65,USA,Marriottsville,176.60
45.37,"Buckley, Robert F.",2728,114.13,M,29,195.30,5883,4737,,161.60,5355,7.45,GA,137.60,22.83,96.15,91.17,USA,Chamblee,185.35
42.62,"Young, Jerry G.",168,105.90,M,46,179.47,5884,2131,,149.48,2254,6.85,TX,127.47,21.52,89.30,84.73,USA,Dallas,170.55
43.55,"Weimar, Chris",210,109.72,M,52,188.90,5885,3597,,155.13,3914,7.22,CO,132.13,21.83,92.32,87.48,USA,Coloroado Springs,178.67
46.20,"Gesswein, Peter B",3737,120.85,M,36,224.77,5886,9352,,176.78,13838,8.58,CA,147.73,22.47,101.18,95.85,USA,Los Angeles,208.00
40.83,"Stawicki, Todd R.",3091,106.70,M,30,203.25,5887,6074,,162.25,7306,7.77,TX,131.28,20.32,88.77,83.92,USA,Belton,190.77
45.00,"Viola, Gregg E",512,110.92,M,43,185.73,5889,3105,,155.10,3341,7.10,MD,133.05,22.63,93.70,88.88,USA,Ellicott City,176.72
43.07,"Christensen, Rachelle",322,110.02,F,32,191.15,5891,392,,157.22,4361,7.30,ID,133.15,21.42,92.52,87.75,USA,Meridian,180.78
44.00,"Hickey, Jerry",774,110.00,M,44,192.10,5892,4127,,156.77,4564,7.33,MO,132.97,22.12,92.70,87.85,USA,Parkville,180.90
42.00,"Provencher, Dany",320,105.43,M,41,179.28,5893,2090,,148.78,2211,6.85,QC,127.10,21.13,88.92,84.33,CAN,St-Romuald,169.95
42.22,"Johnson, Andy M",2126,105.88,M,38,186.25,5894,3182,,150.93,3431,7.12,MO,127.95,21.20,89.32,84.65,USA,Cape Girardeau,175.12
60.05,"Donnelly, Jeffrey A",1456,155.80,M,56,286.03,5895,14548,,230.43,25616,10.92,AZ,189.63,29.45,126.93,120.63,USA,Mesa,269.60
44.97,"Kahn, Craig M.",265,114.47,M,57,208.82,5896,7006,,167.85,8932,7.97,CA,139.55,22.33,95.85,90.82,USA,Topanga,196.57
41.80,"Rebella, Dan",899,106.85,M,46,201.15,5897,5704,,158.37,6727,7.68,OH,130.98,20.93,89.45,84.87,USA,Mason,188.35
45.95,"Little, Aaron",2950,115.10,M,39,199.85,5898,5519,,163.67,6438,7.63,UT,138.95,22.80,96.98,91.95,USA,West Haven,188.58
43.32,"Howes, Daryl J",2737,109.38,M,36,195.45,5899,4758,,158.23,5380,7.47,ON,132.85,22.57,91.65,86.80,CAN,Ottawa,184.10
41.13,"Anguiano Hernadez, Jose Pedro",65,102.23,M,51,178.47,5901,1916,,144.43,2026,6.82,,122.95,21.12,86.42,81.98,MEX,Mexico D.f.,166.82
42.75,"Wood, Neil J.",948,108.42,M,47,202.25,5902,5886,,157.52,7014,7.72,,131.93,21.57,90.95,86.15,AUS,Wynnum Plaza,188.05
48.42,"Fei, Xiang",1486,122.47,M,40,215.10,5904,8005,,175.78,10861,8.22,IL,148.68,24.30,103.02,97.80,USA,Schaumburg,203.25
42.33,"Waldera, Michael L",231,106.23,M,52,190.17,5905,3816,,153.47,4179,7.27,SD,129.23,21.57,89.40,84.80,USA,Sioux Falls,178.67
42.23,"Quigley, Michael A. Jr.",233,105.12,M,49,182.63,5906,2648,,149.12,2808,6.97,FL,126.73,21.18,88.67,84.10,USA,Lake Placid,171.70
42.23,"Kemp, Melissa D.",635,109.97,F,27,198.23,5907,795,,160.45,5981,7.57,PA,134.47,21.03,91.67,86.65,USA,Worthington,187.03
41.85,"Calvo Ruiz, David",1031,106.12,M,42,198.38,5908,5216,ESP,155.00,6016,7.57,TX,129.75,21.05,88.92,84.17,USA,Houston,184.95
43.37,"Nichols, Mike",3109,110.55,M,35,203.75,5909,6155,,161.78,7441,7.78,PA,134.97,21.70,92.73,87.85,USA,Springfield,190.45
44.45,"Gill, Ryan",2974,112.73,M,31,200.32,5911,5583,,162.07,6545,7.65,TX,136.93,22.30,94.65,89.60,USA,Houston,188.82
42.35,"Lloyd, Sarah",187,106.13,F,28,185.30,5912,222,,151.27,3270,7.08,OR,128.40,21.42,89.53,84.97,USA,Springfield,174.70
43.85,"White, Richard B",498,111.97,M,50,201.37,5913,5741,,161.05,6795,7.68,MO,135.72,21.82,94.03,89.02,USA,Branson,188.75
42.90,"Lau, Michael",196,107.88,M,52,187.85,5914,3434,,153.05,3717,7.17,ON,130.15,21.53,90.78,86.08,CAN,Ottawa,175.78
45.95,"Griffith, Jason C",1342,115.60,M,42,208.75,5915,6990,,166.90,8913,7.97,CA,140.73,23.03,97.27,92.23,USA,Thousand Oaks,196.45
43.03,"Adams, Justin",2377,106.93,M,36,190.05,5916,3794,,155.13,4151,7.25,WA,130.30,21.72,90.23,85.65,USA,Lake Tapps,179.42
46.38,"Schellenberg, Matt",3239,118.07,M,36,207.22,5917,6723,,169.28,8435,7.92,UT,143.28,23.35,99.08,93.92,USA,Highland,195.32
42.60,"Castaneda, Eduardo",2088,106.63,M,38,185.78,5918,3114,,152.60,3353,7.10,,129.20,21.43,89.75,85.15,MEX,"Merida, Yucatan",175.57
42.08,"Nischwitz, David C.",1736,105.10,M,31,181.68,5919,2478,,149.32,2627,6.93,MO,126.58,21.17,88.50,83.95,USA,Saint Louis,171.72
43.05,"Hsia, Brian W.",2307,109.25,M,32,188.92,5921,3601,,156.28,3918,7.22,NY,132.27,21.60,91.90,87.10,USA,New York,178.93
44.08,"Stevens, Adam M.",2804,112.07,M,34,197.08,5922,4998,,160.75,5708,7.52,MA,136.12,21.97,94.20,89.25,USA,Framingham,185.92
43.55,"Halverson, Jenny A.",449,110.88,F,37,194.30,5923,551,,158.68,5111,7.42,MN,134.03,21.67,93.15,88.23,USA,West St. Paul,183.10
41.65,"Funk, Dennis L",47,105.48,M,58,188.18,5924,3482,,151.67,3770,7.18,SC,128.25,20.85,88.55,83.87,USA,Greer,175.67
42.70,"Conner, Don",730,110.33,M,51,207.57,5926,6786,,165.08,8538,7.92,WA,136.50,21.42,91.57,86.53,USA,Battle Ground,194.25
40.73,"Bairey, James",48,102.30,M,54,175.68,5927,1503,,144.83,1592,6.72,CA,123.48,20.30,86.17,81.67,USA,Pebble Beach,166.07
44.45,"Fellers, Brad",3462,115.27,M,37,213.28,5930,7728,,170.78,10304,8.15,NC,142.15,22.12,95.58,90.40,USA,Matthews,199.88
45.73,"Tormey, Patricia M",1655,115.97,F,27,210.63,5932,2191,,173.12,9524,8.05,IL,141.65,22.53,97.43,92.35,USA,Chicago,199.42
42.60,"Green, Franklin R.",242,106.58,M,47,183.20,5933,2715,,150.83,2889,7.00,AZ,128.38,21.23,89.85,85.27,USA,Tempe,173.20
38.47,"Constantino, David",418,100.73,M,44,182.58,5934,2636,,147.43,2796,6.97,RI,123.73,19.62,83.77,79.38,USA,Cumberland,170.92
41.93,"Malone, James S.",2966,108.27,M,36,200.15,5936,5558,,159.10,6507,7.65,SC,132.78,20.98,89.88,84.63,USA,Greenville,187.32
42.78,"Mills, Joshua M.",3812,112.87,M,35,228.48,5937,9794,,178.53,14887,8.72,SC,143.08,21.52,93.45,88.32,USA,Hanahan,215.38
45.85,"Turk, Christopher",743,114.03,M,42,191.25,5939,3979,,159.22,4380,7.30,PA,136.67,23.20,96.57,91.87,USA,Philadelphia,181.78
42.60,"Lozano, Gerardo",3774,112.97,M,36,226.90,5940,9595,MEX,179.20,14433,8.67,NY,139.85,21.37,93.07,87.85,USA,Brooklyn,213.17
44.58,"McKee, Ken",856,109.60,M,42,193.52,5941,4412,,158.23,4924,7.38,CA,133.45,23.72,91.98,87.30,USA,Folsom,182.93
41.67,"Jimenez, Freddy",219,103.62,M,44,176.35,5942,1578,,145.95,1671,6.73,,124.58,20.93,87.38,82.92,CRC,San Antonio De Belen,166.73
42.83,"Greig, Scott E",452,106.42,M,40,183.87,5943,2824,,151.05,3012,7.02,ON,128.58,21.73,89.95,85.42,CAN,Owen Sound,174.17
43.42,"Cadiou, Christophe",929,110.32,M,44,195.28,5944,4731,FRA,158.37,5347,7.45,GA,133.50,21.70,92.48,87.78,USA,Marietta,183.23
46.17,"Ave Maria, Elizabeth A",2574,121.72,F,25,220.47,5945,3757,,178.47,12552,8.42,MA,148.12,23.07,99.12,93.80,USA,Amherst,209.12
41.38,"Bolles, Gordon G",1367,104.15,M,39,178.08,5946,1853,,147.57,1959,6.80,NY,125.68,20.72,87.92,83.37,USA,West Seneca,168.93
42.62,"Doherty, George F. III",156,107.97,M,50,184.95,5947,2996,,152.90,3208,7.07,MA,130.27,21.23,90.82,86.03,USA,Dover,175.22
44.32,"Monahan, Mark C",1402,110.93,M,40,211.27,5948,7436,,168.03,9706,8.07,PA,137.60,22.45,93.33,88.45,USA,Moosic,197.28
44.35,"Gamez, Arturo",1246,112.03,M,44,205.37,5949,6432,,162.80,7904,7.83,IL,136.37,22.27,94.07,89.08,USA,Chicago,192.52
54.95,"Reynoso, Gabriel Sr.",4485,139.88,M,38,262.72,5950,13024,MEX,209.22,22299,10.03,TX,173.95,27.32,116.82,110.73,USA,Midland,246.80
42.75,"Van Kessel, Jeroen",2539,109.23,M,38,192.40,5951,4201,,156.55,4655,7.35,,132.63,21.27,91.63,86.82,NED,Veldhoven,181.28
40.07,"Basmajian, Alden D.",2990,101.48,M,30,201.02,5952,5688,,153.30,6703,7.67,NJ,125.35,20.02,85.37,80.85,USA,Bloomfield,187.78
42.33,"Saphire, Kathryn L.",619,109.87,F,21,198.02,5953,773,,157.93,5929,7.57,CT,133.48,21.07,91.67,86.87,USA,Westport,184.87
46.02,"Wallace, Brian",3650,115.45,M,38,220.32,5955,8780,,166.52,12516,8.42,CA,140.48,23.08,97.00,91.62,USA,Lompoc,200.08
43.78,"Sullivan, Richard J. III",1800,108.77,M,36,182.27,5956,2578,,152.95,2735,6.97,NY,131.53,22.08,91.88,87.13,USA,New York,173.53
46.45,"Meerdo, George",582,116.22,M,50,204.00,5957,6184,,164.50,7493,7.78,FL,140.10,23.30,98.17,93.07,USA,Altamonte Springs,192.30
42.03,"Hennessey, Kevin C",425,105.00,M,41,182.88,5958,2675,,149.23,2840,6.98,MD,126.90,21.18,88.60,83.93,USA,Bel Air,172.67
42.43,"Chick, Giles D",523,105.72,M,43,186.12,5959,3160,,150.40,3407,7.10,IL,127.75,21.33,89.23,84.68,USA,Lincolnshire,173.45
44.53,"Glazener, Todd",751,111.93,M,42,191.42,5960,4017,,158.15,4426,7.32,NC,134.85,22.30,94.38,89.53,USA,Pfafftown,181.38
41.18,"Yeung, Chi Daniel",643,105.08,M,42,188.95,5961,3606,,152.07,3925,7.22,,127.50,20.62,88.33,83.68,HKG,Hong Kong,176.73
43.45,"Gardner, Preston",2225,109.72,M,36,187.63,5962,3403,,156.50,3679,7.17,UT,132.82,21.70,92.18,87.33,USA,Centerville,178.87
42.18,"Hoey, Mark A.",2960,107.82,M,37,200.08,5963,5550,,159.83,6492,7.63,MN,132.58,21.02,89.88,85.13,USA,Minneapolis,188.10
43.07,"Enna, Matthew J.",2528,108.60,M,39,192.23,5964,4154,,156.70,4601,7.33,CA,132.08,21.62,91.28,86.58,USA,Beverly Hills,181.43
40.90,"Parks, Kevin",2860,106.87,M,27,198.28,5965,5197,,159.38,5993,7.57,NY,133.43,20.38,87.72,82.90,USA,New York,187.22
42.17,"Aalgaard Kelly, Gina",376,111.30,F,37,192.50,5966,460,,159.17,4680,7.35,ND,135.22,21.22,92.03,86.97,USA,Lisbon,182.47
43.40,"Sinclair, Meredith",614,112.27,F,36,197.90,5967,766,,162.35,5903,7.55,UT,136.65,21.57,93.87,88.87,USA,Salt Lake City,187.48
47.88,"Vosshall, Peter S",1149,119.65,M,43,201.72,5968,5792,,167.73,6876,7.70,WA,144.08,24.17,100.95,95.82,USA,Bainbridge Island,191.30
41.68,"Jones, Sean",431,105.48,M,43,183.18,5969,2713,,150.47,2887,7.00,UT,127.62,20.58,88.80,84.20,USA,Taylorsville,173.17
43.82,"Gotay De Jesus, Hector Sr.",114,112.83,M,61,218.17,5970,8477,,169.15,11846,8.33,PR,139.17,21.82,94.05,89.05,USA,Guaynabo,201.23
41.75,"Cutler, Andrew D",29,104.95,M,56,181.70,5971,2483,,148.68,2633,6.93,VA,126.58,21.07,88.50,83.87,USA,Yorktown,170.95
47.55,"Prest, Richard G.",1222,122.10,M,47,208.00,5972,6870,,173.37,8676,7.93,CA,147.73,23.20,102.67,97.28,USA,Emerald Hills,197.62
41.67,"Kiros, Geb",294,105.07,M,47,185.58,5973,3092,,149.08,3324,7.08,FL,126.67,20.77,88.45,83.85,USA,Tallahassee,173.92
42.22,"Carmody, Christopher",3660,113.85,M,34,220.80,5974,8846,,171.97,12662,8.43,FL,140.92,20.95,94.27,89.00,USA,Orlando,206.20
47.27,"Hauser, William C. Jr.",1044,119.47,M,45,204.02,5975,6186,,170.37,7500,7.78,PA,144.73,23.52,100.70,95.50,USA,Malvern,194.22
42.18,"Kraft, Howard A",1012,105.95,M,47,203.47,5976,6102,,160.47,7348,7.77,NC,128.95,21.02,89.05,84.45,USA,Pfafftown,190.85
43.10,"Fleet, Kim J.",430,108.93,F,32,193.90,5977,530,,157.32,5021,7.40,ON,132.35,21.72,91.53,86.72,CAN,London,182.97
42.58,"Fitzpatrick, Matthew",962,108.67,M,44,196.32,5978,4881,,158.55,5549,7.50,OH,132.87,21.67,90.83,85.98,USA,Cincinnati,184.88
45.83,"Owens, Ryan B",3558,116.57,M,37,216.72,5979,8249,,170.50,11363,8.27,NC,140.78,23.05,98.12,92.92,USA,Albemarle,203.37
42.90,"Van Horn, Jason D.",1926,107.48,M,40,248.10,5980,11834,,191.67,19666,9.47,VA,132.10,21.62,90.95,86.33,USA,Bristow,234.55
48.80,"Swaminathan, Aravind",3593,124.87,M,38,217.83,5981,8420,,180.20,11735,8.32,WA,151.70,23.98,104.18,98.83,USA,Seattle,206.98
42.93,"Coogan, Laura",204,108.55,F,26,185.80,5982,240,,153.87,3356,7.10,NY,130.78,21.33,91.52,86.72,USA,Brooklyn,176.18
42.53,"Filip, Daniel J.",153,105.72,M,51,184.62,5983,2948,,150.48,3151,7.05,CA,127.57,21.52,89.28,84.70,USA,Los Gatos,174.38
43.02,"O'Brien, Kevin",998,108.80,M,48,203.05,5984,6037,,162.05,7252,7.75,IL,134.18,21.57,91.12,86.37,USA,Lagrange,190.40
43.13,"Herring, Marion",1141,109.00,M,47,206.15,5986,6548,,159.47,8120,7.87,VA,132.98,21.78,91.67,86.70,USA,Richmond,188.70
43.58,"Woodring, Chris",430,110.08,M,46,190.48,5988,3872,,156.90,4248,7.27,MI,133.17,22.05,92.57,87.75,USA,Canton,180.23
45.65,"Perotti, Mark J.",2197,128.68,M,43,279.23,5989,14131,,216.68,24696,10.65,RI,165.25,22.55,103.37,97.40,USA,Wakefield,263.43
43.45,"Watters, Amanda",585,111.73,F,34,197.35,5993,727,,161.82,5765,7.53,MA,137.00,21.78,92.77,87.85,USA,Ashland,186.65
42.72,"Baum, Eric V.",1781,106.55,M,26,182.08,5994,2548,,150.60,2703,6.95,IL,128.52,21.52,89.85,85.20,USA,Chicago,172.53
41.92,"Teague, Chris",1416,104.48,M,45,213.07,5995,7706,,164.17,10252,8.13,MA,126.03,21.03,88.23,83.72,USA,Holliston,199.35
41.95,"Mahoney, Brian R.",1315,104.45,M,32,177.53,5996,1764,,145.97,1864,6.78,MA,125.18,21.05,88.23,83.72,USA,Weymouth,167.35
38.77,"Lohr, Alex",640,95.90,M,26,168.58,5997,786,,136.88,831,6.43,TX,115.82,19.60,80.87,76.70,USA,Austin,159.15
41.85,"Rivers, Bill F.",1336,105.12,M,35,177.75,5998,1804,,147.57,1907,6.78,MA,126.37,20.62,88.80,84.23,USA,Bridgewater,168.47
42.15,"Osorio, Juan",2261,106.68,M,26,188.32,5999,3501,COL,151.25,3796,7.18,,128.90,21.20,89.87,85.22,PAN,Panama,175.20
45.58,"Buchanan, Kelsey",320,113.13,F,27,191.12,6000,390,,158.83,4357,7.30,UT,135.75,23.20,95.62,90.77,USA,St. George,181.75
42.63,"De Mas, Fabio",1201,107.70,M,41,203.43,6001,6099,,161.18,7341,7.77,,132.03,21.13,90.30,85.62,ITA,Belluno,190.92
42.90,"Hemmer, Kyle",1826,106.92,M,38,182.52,6002,2619,,151.20,2779,6.97,TX,128.92,21.62,90.13,85.40,USA,Rockwall,172.95
42.47,"Staley, Robert L III",1824,106.85,M,38,182.50,6003,2613,,150.73,2771,6.97,KY,128.60,21.07,90.02,85.38,USA,Louisville,172.77
45.28,"Kearney, Brian",1704,117.17,M,54,243.25,6004,11439,,182.58,18751,9.28,IL,144.07,22.50,97.47,92.13,USA,Naperville,225.80
43.42,"Berg, Olov",790,110.28,M,43,192.30,6006,4174,SWE,157.83,4623,7.35,PA,133.73,21.42,92.73,87.83,USA,Chadds Ford,181.67
43.35,"Hite, Josh A",3057,108.80,M,36,202.50,6007,5925,,154.82,7077,7.73,TN,130.97,21.62,91.82,86.97,USA,Cookeville,186.68
42.73,"Boonstra, David M",2111,107.02,M,35,186.05,6008,3150,,152.05,3395,7.10,NJ,129.25,21.48,90.05,85.40,USA,Hoboken,175.08
42.32,"Mancilla Hernandez, Carlos Adrian",4086,111.57,M,37,241.52,6009,11306,,169.33,18402,9.22,,140.22,20.72,92.08,87.30,MEX,Mexico City,216.47
41.48,"Painter, Ted",847,107.18,M,42,193.25,6011,4370,,156.82,4869,7.38,MA,131.40,20.65,89.45,84.58,USA,Oxford,182.38
46.95,"Cusack, Padraig",3378,121.18,M,38,210.85,6012,7366,,173.42,9591,8.05,,146.92,23.17,101.52,96.23,IRL,County Cavan,199.33
43.55,"Schroll, Travis",2550,108.13,M,39,192.53,6013,4227,,156.18,4687,7.35,IL,131.58,22.25,91.10,86.35,USA,Beardstown,181.20
43.70,"Bernard, David",3682,111.15,M,38,221.88,6014,8991,,171.85,12987,8.47,IN,140.77,21.90,93.02,88.05,USA,Crown Point,210.10
40.45,"Negron, Jose G.",131,101.35,M,45,178.12,6015,1859,VEN,144.70,1966,6.80,MA,122.45,20.45,85.33,80.90,USA,Boston,167.53
43.82,"Savage, Anna E.",384,112.40,F,31,192.70,6016,470,,159.75,4735,7.35,DC,135.67,21.77,93.98,89.05,USA,Washington,182.75
44.22,"Jones, David",955,111.47,M,42,196.02,6017,4837,,159.72,5492,7.48,TX,135.28,22.23,93.53,88.65,USA,Dallas,184.62
